"main_modify.py --pretrained_path None --mode finetuning --train_num 100 --layer_control freeze --stratify strat --random_seed 0 --task ABCD_sex --input_option BT_org --learning_rate 1e-4 --batch_size 16 --weight_decay 1e-3 --BN inst --save_path finetune_results_InstanceBN --run_where lab"
{"epoch": 0, "training_loss": 0.7029567980766296, "training_acc": 47.0, "val_loss": 0.6954965591430664, "val_acc": 48.0}
{"epoch": 1, "training_loss": 0.6985043144226074, "training_acc": 41.0, "val_loss": 0.6925273871421814, "val_acc": 52.0}
{"epoch": 2, "training_loss": 0.6919073677062988, "training_acc": 53.0, "val_loss": 0.6925759530067443, "val_acc": 52.0}
{"epoch": 3, "training_loss": 0.6918966841697692, "training_acc": 53.0, "val_loss": 0.6927375340461731, "val_acc": 52.0}
{"epoch": 4, "training_loss": 0.6915729022026063, "training_acc": 53.0, "val_loss": 0.6926935958862305, "val_acc": 52.0}
{"epoch": 5, "training_loss": 0.6918778610229492, "training_acc": 53.0, "val_loss": 0.6926522421836853, "val_acc": 52.0}
{"epoch": 6, "training_loss": 0.6915646123886109, "training_acc": 53.0, "val_loss": 0.6928521323204041, "val_acc": 52.0}
{"epoch": 7, "training_loss": 0.6924304151535035, "training_acc": 53.0, "val_loss": 0.6926004910469055, "val_acc": 52.0}
{"epoch": 8, "training_loss": 0.6914448380470276, "training_acc": 53.0, "val_loss": 0.6927170467376709, "val_acc": 52.0}
{"epoch": 9, "training_loss": 0.6933113193511963, "training_acc": 53.0, "val_loss": 0.6925273227691651, "val_acc": 52.0}
{"epoch": 10, "training_loss": 0.6923777747154236, "training_acc": 53.0, "val_loss": 0.6926222538948059, "val_acc": 52.0}
{"epoch": 11, "training_loss": 0.6912398982048035, "training_acc": 53.0, "val_loss": 0.6925353622436523, "val_acc": 52.0}
{"epoch": 12, "training_loss": 0.6923162865638733, "training_acc": 53.0, "val_loss": 0.6925365591049194, "val_acc": 52.0}
{"epoch": 13, "training_loss": 0.6921472334861756, "training_acc": 53.0, "val_loss": 0.6925297474861145, "val_acc": 52.0}
{"epoch": 14, "training_loss": 0.6918842005729675, "training_acc": 53.0, "val_loss": 0.6925876688957214, "val_acc": 52.0}
{"epoch": 15, "training_loss": 0.6913841009140015, "training_acc": 53.0, "val_loss": 0.6926953506469726, "val_acc": 52.0}
{"epoch": 16, "training_loss": 0.6912091159820557, "training_acc": 53.0, "val_loss": 0.6928444409370422, "val_acc": 52.0}
{"epoch": 17, "training_loss": 0.6912788677215577, "training_acc": 53.0, "val_loss": 0.6930680418014527, "val_acc": 52.0}
{"epoch": 18, "training_loss": 0.6915514326095581, "training_acc": 53.0, "val_loss": 0.6937609815597534, "val_acc": 52.0}
{"epoch": 19, "training_loss": 0.6921851444244385, "training_acc": 53.0, "val_loss": 0.6937792348861694, "val_acc": 52.0}
{"epoch": 20, "training_loss": 0.6920351362228394, "training_acc": 53.0, "val_loss": 0.6928092432022095, "val_acc": 52.0}
{"epoch": 21, "training_loss": 0.6913706803321839, "training_acc": 53.0, "val_loss": 0.6925838470458985, "val_acc": 52.0}
{"epoch": 22, "training_loss": 0.6918120503425598, "training_acc": 53.0, "val_loss": 0.6925254416465759, "val_acc": 52.0}
